p1,p2,g1_ratio,policy,avg_cost
0.3,0.7,15,ratiocoll-nodupe,121.66666666666667
0.3,0.7,15,epsilon-exact-nodupe,122.06666666666666
0.3,0.7,16,random,121.03333333333333
0.3,0.7,16,coupcoll-nodupe,120.93333333333334
0.3,0.7,16,ratiocoll-nodupe,120.6
0.3,0.7,16,epsilon-exact-nodupe,118.9
0.3,0.7,17,random,118.73333333333333
0.3,0.7,17,coupcoll-nodupe,118.7
0.3,0.7,17,ratiocoll-nodupe,118.93333333333334
0.3,0.7,17,epsilon-exact-nodupe,119.6
0.3,0.7,18,random,117.93333333333334
0.3,0.7,18,coupcoll-nodupe,120.66666666666667
0.3,0.7,18,ratiocoll-nodupe,116.23333333333333
0.3,0.7,18,epsilon-exact-nodupe,115.96666666666667
0.3,0.7,19,random,116.1
0.3,0.7,19,coupcoll-nodupe,116.8
0.3,0.7,19,ratiocoll-nodupe,116.36666666666666
0.3,0.7,19,epsilon-exact-nodupe,115.6
0.3,0.7,20,random,112.93333333333334
0.3,0.7,20,coupcoll-nodupe,115.33333333333333
0.3,0.7,20,ratiocoll-nodupe,113.76666666666667
0.3,0.7,20,epsilon-exact-nodupe,114.46666666666667
0.3,0.7,21,random,113.2
0.3,0.7,21,coupcoll-nodupe,111.96666666666667
0.3,0.7,21,ratiocoll-nodupe,111.7
0.3,0.7,21,epsilon-exact-nodupe,112.03333333333333
0.3,0.7,22,random,112.13333333333334
0.3,0.7,22,coupcoll-nodupe,110.6
0.3,0.7,22,ratiocoll-nodupe,110.9
0.3,0.7,22,epsilon-exact-nodupe,109.93333333333334
0.3,0.7,23,random,109.13333333333334
0.3,0.7,23,coupcoll-nodupe,110.46666666666667
0.3,0.7,23,ratiocoll-nodupe,111.0
0.3,0.7,23,epsilon-exact-nodupe,111.83333333333333
0.3,0.7,24,random,107.5
0.3,0.7,24,coupcoll-nodupe,109.66666666666667
0.3,0.7,24,ratiocoll-nodupe,110.36666666666666
0.3,0.7,24,epsilon-exact-nodupe,111.0
0.3,0.7,25,random,108.96666666666667
0.3,0.7,25,coupcoll-nodupe,108.7
0.3,0.7,25,ratiocoll-nodupe,107.13333333333334
0.3,0.7,25,epsilon-exact-nodupe,109.66666666666667
0.3,0.7,26,random,107.76666666666667
0.3,0.7,26,coupcoll-nodupe,107.76666666666667
0.3,0.7,26,ratiocoll-nodupe,109.3
0.3,0.7,26,epsilon-exact-nodupe,106.43333333333334
0.3,0.7,27,random,106.16666666666667
0.3,0.7,27,coupcoll-nodupe,108.1
0.3,0.7,27,ratiocoll-nodupe,106.63333333333334
0.3,0.7,27,epsilon-exact-nodupe,107.2
0.3,0.7,28,random,108.06666666666666
0.3,0.7,28,coupcoll-nodupe,106.26666666666667
0.3,0.7,28,ratiocoll-nodupe,107.06666666666666
0.3,0.7,28,epsilon-exact-nodupe,107.1
0.3,0.7,29,random,106.8
0.3,0.7,29,coupcoll-nodupe,108.86666666666666
0.3,0.7,29,ratiocoll-nodupe,107.16666666666667
0.3,0.7,29,epsilon-exact-nodupe,106.63333333333334
0.3,0.7,30,random,109.06666666666666
0.3,0.7,30,coupcoll-nodupe,111.56666666666666
0.3,0.7,30,ratiocoll-nodupe,110.66666666666667
0.3,0.7,30,epsilon-exact-nodupe,109.33333333333333
0.3,0.7,31,random,108.96666666666667
0.3,0.7,31,coupcoll-nodupe,109.13333333333334
0.3,0.7,31,ratiocoll-nodupe,111.6
0.3,0.7,31,epsilon-exact-nodupe,107.96666666666667
0.3,0.7,32,random,114.03333333333333
